runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,production_year,month_sin,month_cos,number_of_professions,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,cluster
116.0,503.0,6.3,5077.0,3.823170876663936,1996,1e-10,1e-10,3,2,19000000.0,1353824.0,1353824.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114.0,299.0,6.2,22262.0,4.434679149304607,1993,0.8660254037844386,0.5000000000000001,3,1,30000000.0,50081992.0,140081992.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
124.0,75.0,7.1,145614.0,6.078635775790012,2011,1e-10,1.0,3,1,50000000.0,75624550.0,118729073.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
125.0,350.0,7.0,110757.0,5.85024276925761,1977,1e-10,1e-10,3,2,14000000.0,46800000.0,185400000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
98.0,568.0,6.1,41748.0,4.643223019376909,2000,0.49999999999999994,0.8660254037844387,2,2,9500000.0,57176582.0,59675307.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.0,1e-10,7.1,185676.0,6.2055978417958455,2011,1e-10,0.8660254037844384,3,1,9400000.0,3030848.0,21817298.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128.0,360.0,7.6,80886.0,6.187245602632029,2007,1e-10,1.0,3,0,20000000.0,15800078.0,74180745.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138.0,117.0,5.8,257429.0,5.184655827352661,2014,1.0,6.123233995736766e-17,3,1,130000000.0,101200044.0,352831065.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
112.0,1e-10,6.0,39291.0,4.538166826552905,2018,0.49999999999999994,1e-10,3,2,12000000.0,50316123.0,91244913.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109.0,357.0,6.7,227685.0,5.949102380309671,2004,0.8660254037844387,1e-10,3,0,25000000.0,14589444.0,31635150.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
