runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,\N
138.0,1e-10,7.2,600147.0,6.916334015935126,2,150000000.0,281553689.0,738576929.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88.0,1e-10,4.6,67577.0,3.632030721039354,2,5000000.0,53900335.0,142817992.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
91.0,1e-10,5.0,15307.0,3.4130434159003413,0,9000000.0,20035310.0,20035310.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118.0,1e-10,7.1,29100.0,5.237483333391101,1,16000000.0,3287315.0,8120148.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.0,33.0,7.8,372339.0,7.2297251386949455,1,11000000.0,93617009.0,129262388.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.0,1e-10,6.6,23524.0,4.756068308052686,0,900000.0,905111.0,2019874.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129.0,13.0,7.1,313837.0,6.479781380853268,2,160000000.0,504014165.0,1268697483.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127.0,1e-10,7.4,43073.0,5.67786844283141,1,20000000.0,14363397.0,19121531.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103.0,21.0,7.7,597248.0,7.403046536299191,0,15000000.0,285761243.0,476680911.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.0,92.0,6.4,61276.0,5.058755815137389,1,40000000.0,29817991.0,69817991.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123.0,1e-10,6.8,566455.0,6.495862970126503,2,175000000.0,426829839.0,1129576094.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127.0,124.0,7.8,178200.0,6.806829747257655,0,18000000.0,5828466.0,5828734.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117.0,42.0,8.0,519243.0,7.614232277549943,0,55000000.0,162586036.0,307311093.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.0,1e-10,6.2,8375.0,3.988717919476695,2,20000000.0,8047525.0,9649039.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121.0,106.0,6.0,8942.0,3.8847156882604814,1,40000000.0,1641825.0,6341825.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.0,95.0,7.2,281644.0,6.515568879196795,0,6000000.0,181813770.0,387472317.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
106.0,10.0,4.9,162697.0,4.194258810461216,1,175000000.0,113805681.0,221229335.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92.0,119.0,5.6,70349.0,4.46682465715961,2,60000000.0,104148781.0,164285587.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.0,34.0,8.0,645897.0,7.7427050315779695,1,165000000.0,108327830.0,392073640.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134.0,1e-10,4.7,813.0,2.185303758074137,2,14000000.0,5108820.0,12591270.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.0,1e-10,4.6,28843.0,3.343878145173149,2,10000000.0,18297124.0,77959374.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
119.0,8.0,6.5,279943.0,5.86639700192735,1,70000000.0,98927592.0,172878928.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108.0,66.0,5.9,7465.0,3.739404786237866,0,10000000.0,29317886.0,29317886.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134.0,1e-10,7.5,499375.0,7.1085746469606725,1,80000000.0,85817906.0,210315681.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89.0,1e-10,8.3,3610.0,4.870478961700783,0,500000.0,134109.0,314444.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115.0,1e-10,6.7,225687.0,5.944757485722104,0,85000000.0,126181630.0,207884401.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80.0,1e-10,3.3,25809.0,2.334627581230007,2,16000000.0,40363530.0,40363530.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.0,52.0,7.3,192896.0,6.404606107657054,0,24000000.0,28871190.0,48308749.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,1e-10,5.1,456.0,2.165532445550167,2,3500000.0,890303.0,890303.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.0,1e-10,6.2,11605.0,4.137512279553591,0,3000000.0,9639390.0,9639390.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.0,53.0,7.6,427642.0,7.1184022397979145,0,1200000.0,55968727.0,103880027.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
96.0,1e-10,4.5,34151.0,3.3242481741549543,2,40000000.0,27682712.0,27682712.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
91.0,1e-10,5.3,43029.0,4.028772010745848,2,42000000.0,26414527.0,36197221.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.0,67.0,6.3,154365.0,5.40591661756872,2,90000000.0,45630104.0,130298184.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119.0,1e-10,6.5,22865.0,4.6684206878114205,1,42000000.0,19487173.0,66787173.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107.0,1e-10,5.7,38218.0,4.2930549343146005,1,12500000.0,677200.0,4027663.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
