movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
The Matrix Reloaded,2003-05-15,"Action,Sci-Fi",138.0,-,-,-,-,7.2,600147.0,6.916334015935126,150000000,281553689,738576929
Paranormal Activity 4,2012-10-17,"Horror,Mystery",88.0,-,-,-,-,4.6,67577.0,3.632030721039354,5000000,53900335,142817992
Down to You,2000-01-21,"Comedy,Drama,Romance",91.0,Kris Isacsson,"director,writer,editor",1972,alive,5.0,15307.0,3.4130434159003413,9000000,20035310,20035310
Things We Lost in the Fire,2007-10-19,Drama,118.0,Susanne Bier,"director,writer,producer",1960,alive,7.1,29100.0,5.237483333391101,16000000,3287315,8120148
The Fighter,2010-12-10,"Action,Biography,Drama",116.0,David O. Russell,"producer,director,writer",1958,alive,7.8,372339.0,7.2297251386949455,11000000,93617009,129262388
The Miseducation of Cameron Post,2018-07-20,"Comedy,Drama",91.0,Desiree Akhavan,"actress,director,writer",1984,alive,6.6,23524.0,4.756068308052686,900000,905111,2019874
Beauty and the Beast,2017-03-16,"Adventure,Family,Fantasy",129.0,Bill Condon,"director,writer,producer",1955,alive,7.1,313837.0,6.479781380853268,160000000,504014165,1268697483
Capitalism: A Love Story,2009-09-23,"Crime,Documentary,History",127.0,Michael Moore,"director,producer,writer",1954,alive,7.4,43073.0,5.67786844283141,20000000,14363397,19121531
Home Alone,1990-11-16,"Comedy,Family",103.0,Chris Columbus,"producer,writer,director",1958,alive,7.7,597248.0,7.403046536299191,15000000,285761243,476680911
Grudge Match,2013-12-25,"Comedy,Drama,Sport",113.0,Peter Segal,"director,producer,writer",1962,alive,6.4,61276.0,5.058755815137389,40000000,29817991,69817991
Captain Marvel,2019-03-06,"Action,Adventure,Sci-Fi",123.0,-,-,-,-,6.8,566455.0,6.495862970126503,175000000,426829839,1129576094
Ed Wood,1994-09-30,"Biography,Comedy,Drama",127.0,Tim Burton,"producer,miscellaneous,director",1958,alive,7.8,178200.0,6.806829747257655,18000000,5828466,5828734
The Pursuit of Happyness,2006-12-15,"Biography,Drama",117.0,Gabriele Muccino,"director,writer,producer",1967,alive,8.0,519243.0,7.614232277549943,55000000,162586036,307311093
Connie and Carla,2004-04-16,"Comedy,Crime,Music",108.0,Michael Lembeck,"director,actor,soundtrack",1948,alive,6.2,8375.0,3.988717919476695,20000000,8047525,9649039
Pirates,1986-07-01,"Action,Adventure,Comedy",121.0,Roman Polanski,"director,actor,writer",1933,alive,6.0,8942.0,3.8847156882604814,40000000,1641825,6341825
Grease,1978-06-16,"Comedy,Musical,Romance",110.0,Randal Kleiser,"director,actor,writer",1946,alive,7.2,281644.0,6.515568879196795,6000000,181813770,387472317
Wild Wild West,1999-06-30,"Action,Comedy,Sci-Fi",106.0,Barry Sonnenfeld,"producer,director,actor",1953,alive,4.9,162697.0,4.194258810461216,175000000,113805681,221229335
Daddy Day Care,2003-05-09,"Comedy,Family",92.0,Steve Carr,"director,producer",\N,alive,5.6,70349.0,4.46682465715961,60000000,104148781,164285587
Dune,2021-09-15,"Action,Adventure,Drama",155.0,Denis Villeneuve,"director,writer,editor",1967,alive,8.0,645897.0,7.7427050315779695,165000000,108327830,392073640
Gossip,2000-04-21,"Comedy,Drama",134.0,Colin Nutley,"director,producer,writer",1944,alive,4.7,813.0,2.185303758074137,14000000,5108820,12591270
Paranormal Activity: The Ghost Dimension,2015-10-21,"Horror,Mystery",88.0,Gregory Plotkin,"editorial_department,editor,producer",\N,alive,4.6,28843.0,3.343878145173149,10000000,18297124,77959374
Olympus Has Fallen,2013-03-20,"Action,Thriller",119.0,Antoine Fuqua,"director,producer,actor",1965,alive,6.5,279943.0,5.86639700192735,70000000,98927592,172878928
A Low Down Dirty Shame,1994-11-23,"Action,Comedy,Crime",108.0,Keenen Ivory Wayans,"writer,producer,actor",1958,alive,5.9,7465.0,3.739404786237866,10000000,29317886,29317886
Fury,2014-10-17,"Action,Drama,War",134.0,David Ayer,"writer,producer,director",1968,alive,7.5,499375.0,7.1085746469606725,80000000,85817906,210315681
The Other Dream Team,2012-09-21,"Documentary,Sport",89.0,Marius A. Markevicius,"producer,director,writer",1976,alive,8.3,3610.0,4.870478961700783,500000,134109,314444
Safe House,2012-02-08,"Action,Thriller",115.0,Daniel Espinosa,"director,producer,writer",1977,alive,6.7,225687.0,5.944757485722104,85000000,126181630,207884401
The Master of Disguise,2002-08-02,"Adventure,Comedy,Family",80.0,Perry Andelin Blake,"production_designer,assistant_director,director",\N,alive,3.3,25809.0,2.334627581230007,16000000,40363530,40363530
"Girl, Interrupted",1999-12-21,"Biography,Drama",127.0,James Mangold,"producer,director,writer",1963,alive,7.3,192896.0,6.404606107657054,24000000,28871190,48308749
Believe,2016-12-02,Drama,119.0,Billy Dickson,"cinematographer,director,writer",\N,alive,5.1,456.0,2.165532445550167,3500000,890303,890303
Belly,1998-11-04,"Crime,Drama",96.0,Hype Williams,"director,producer,editor",1970,alive,6.2,11605.0,4.137512279553591,3000000,9639390,9639390
Saw,2004-10-29,"Horror,Mystery,Thriller",103.0,James Wan,"producer,writer,director",1977,alive,7.6,427642.0,7.1184022397979145,1200000,55968727,103880027
The Island of Dr. Moreau,1996-08-23,"Horror,Sci-Fi,Thriller",96.0,-,-,-,-,4.5,34151.0,3.3242481741549543,40000000,27682712,27682712
One for the Money,2012-01-27,"Action,Comedy,Crime",91.0,Julie Anne Robinson,"director,producer,writer",\N,alive,5.3,43029.0,4.028772010745848,42000000,26414527,36197221
Death on the Nile,2022-02-09,"Crime,Drama,Mystery",127.0,Kenneth Branagh,"actor,producer,director",1960,alive,6.3,154365.0,5.40591661756872,90000000,45630104,130298184
Hero,1992-10-02,"Comedy,Drama,Romance",119.0,Stephen Frears,"director,producer,actor",1941,alive,6.5,22865.0,4.6684206878114205,42000000,19487173,66787173
The Paperboy,2012-10-05,"Crime,Drama,Mystery",107.0,Lee Daniels,"writer,producer,director",1959,alive,5.7,38218.0,4.2930549343146005,12500000,677200,4027663
The Last House on the Left,1972-08-30,"Crime,Horror,Thriller",84.0,Wes Craven,"writer,producer,director",1939,2015,5.9,38123.0,4.447233629700714,87000,3100000,3100000
